date,month,day,year,Call_Count,Temp_Avg
February/9/2016,February,9,2016,"3,846",32
February/9/2017,February,9,2017,"3,368",32
March/9/2013,March,9,2013,"3,554",45
March/9/2014,March,9,2014,"3,239",40
March/9/2015,March,9,2015,"4,303",47
March/9/2016,March,9,2016,"4,395",61
March/9/2017,March,9,2017,"3,946",54
April/9/2013,April,9,2013,"3,803",67
April/9/2014,April,9,2014,"4,021",53
April/9/2015,April,9,2015,"3,533",40
April/9/2016,April,9,2016,"3,482",40
April/9/2017,April,9,2017,"3,755",56
May/9/2013,May,9,2013,"3,654",61
May/9/2014,May,9,2014,"3,710",59
May/9/2015,May,9,2015,"3,833",64
May/9/2016,May,9,2016,"4,176",62
May/9/2017,May,9,2017,"4,050",55
June/9/2013,June,9,2013,"3,804",72
June/9/2014,June,9,2014,"3,821",68
June/9/2015,June,9,2015,"4,227",76
June/9/2016,June,9,2016,"3,832",63
June/9/2017,June,9,2017,"4,356",67
July/9/2013,July,9,2013,"3,833",81
July/9/2014,July,9,2014,"3,837",80
July/9/2015,July,9,2015,"4,034",74
July/9/2016,July,9,2016,"3,693",69
July/9/2017,July,9,2017,"3,856",74
August/9/2013,August,9,2013,"3,764",80
August/9/2014,August,9,2014,"3,859",77
August/9/2015,August,9,2015,"3,991",77
August/9/2016,August,9,2016,"3,965",79
August/9/2017,August,9,2017,"4,127",75
September/9/2013,September,9,2013,"3,387",65
September/9/2014,September,9,2014,"3,719",68
September/9/2015,September,9,2015,"4,143",83
September/9/2016,September,9,2016,"4,330",83
September/9/2017,September,9,2017,"3,913",63
October/9/2013,October,9,2013,"3,510",58
October/9/2014,October,9,2014,"3,933",62
October/9/2015,October,9,2015,"4,204",70
October/9/2016,October,9,2016,"3,447",58
October/9/2017,October,9,2017,"3,880",74
November/9/2013,November,9,2013,"3,367",44
November/9/2014,November,9,2014,"3,467",52
November/9/2015,November,9,2015,"3,965",51
November/9/2016,November,9,2016,"3,841",54
November/9/2017,November,9,2017,"4,011",47
December/9/2013,December,9,2013,"3,623",35
December/9/2014,December,9,2014,"3,677",39
December/9/2015,December,9,2015,"3,651",48
December/9/2016,December,9,2016,"3,932",34
December/9/2017,December,9,2017,"3,786",33
January/10/2013,January,10,2013,"4,048",44
January/10/2014,January,10,2014,"4,232",34
January/10/2015,January,10,2015,"3,501",20
January/10/2016,January,10,2016,"3,492",50
January/10/2017,January,10,2017,"4,152",34
February/10/2013,February,10,2013,"3,287",27
February/10/2014,February,10,2014,"3,689",25
February/10/2015,February,10,2015,"3,870",33
February/10/2016,February,10,2016,"3,921",35
February/10/2017,February,10,2017,"4,122",26
March/10/2013,March,10,2013,"3,234",43
March/10/2014,March,10,2014,"3,824",44
March/10/2015,March,10,2015,"3,974",46
March/10/2016,March,10,2016,"4,450",71
March/10/2017,March,10,2017,"3,669",35
April/10/2013,April,10,2013,"3,825",65
April/10/2014,April,10,2014,"4,001",50
April/10/2015,April,10,2015,"3,735",48
April/10/2016,April,10,2016,"3,582",41
April/10/2017,April,10,2017,"4,048",64
May/10/2013,May,10,2013,"4,281",69
May/10/2014,May,10,2014,"3,704",70
May/10/2015,May,10,2015,"3,894",72
May/10/2016,May,10,2016,"3,973",57
May/10/2017,May,10,2017,"4,094",56
June/10/2013,June,10,2013,"3,817",66
June/10/2014,June,10,2014,"3,859",71
June/10/2015,June,10,2015,"4,347",74
June/10/2016,June,10,2016,"4,279",67
June/10/2017,June,10,2017,"4,452",76
July/10/2013,July,10,2013,"3,967",80
July/10/2014,July,10,2014,"3,746",78
July/10/2015,July,10,2015,"4,268",78
July/10/2016,July,10,2016,"3,864",73
July/10/2017,July,10,2017,"4,363",76
August/10/2013,August,10,2013,"3,809",77
August/10/2014,August,10,2014,"3,806",78
August/10/2015,August,10,2015,"4,079",77
August/10/2016,August,10,2016,"4,033",81
August/10/2017,August,10,2017,"4,227",76
September/10/2013,September,10,2013,"3,719",78
September/10/2014,September,10,2014,"3,727",72
September/10/2015,September,10,2015,"3,921",75
September/10/2016,September,10,2016,"4,257",82
September/10/2017,September,10,2017,"3,678",65
October/10/2013,October,10,2013,"3,485",60
October/10/2014,October,10,2014,"3,974",58
October/10/2015,October,10,2015,"3,888",58
October/10/2016,October,10,2016,"3,749",56
October/10/2017,October,10,2017,"4,472",74
November/10/2013,November,10,2013,"3,303",53
November/10/2014,November,10,2014,"3,945",53
November/10/2015,November,10,2015,"3,809",54
November/10/2016,November,10,2016,"3,871",48
November/10/2017,November,10,2017,"3,833",38
December/10/2013,December,10,2013,"3,395",34
December/10/2014,December,10,2014,"3,875",36
December/10/2015,December,10,2015,"4,048",56
December/10/2016,December,10,2016,"3,786",32
December/10/2017,December,10,2017,"3,778",34
January/11/2013,January,11,2013,"4,102",42
January/11/2014,January,11,2014,"3,685",48
January/11/2015,January,11,2015,"3,340",28
January/11/2016,January,11,2016,"3,789",33
January/11/2017,January,11,2017,"4,310",47
February/11/2013,February,11,2013,"3,953",40
February/11/2014,February,11,2014,"3,535",21
February/11/2015,February,11,2015,"3,937",28
February/11/2016,February,11,2016,"3,848",25
February/11/2017,February,11,2017,"4,015",39
March/11/2013,March,11,2013,"3,706",47
March/11/2014,March,11,2014,"3,855",56
March/11/2015,March,11,2015,"3,991",52
March/11/2016,March,11,2016,"4,428",58
March/11/2017,March,11,2017,"3,423",23
April/11/2013,April,11,2013,"3,547",54
April/11/2014,April,11,2014,"4,146",66
April/11/2015,April,11,2015,"3,975",51
April/11/2016,April,11,2016,"4,069",54
April/11/2017,April,11,2017,"3,965",71
May/11/2013,May,11,2013,"3,644",66
May/11/2014,May,11,2014,"3,839",71
May/11/2015,May,11,2015,"4,525",77
May/11/2016,May,11,2016,"4,268",63
May/11/2017,May,11,2017,"4,081",57
June/11/2013,June,11,2013,"3,767",72
June/11/2014,June,11,2014,"3,622",66
June/11/2015,June,11,2015,"4,566",81
June/11/2016,June,11,2016,"4,241",74
June/11/2017,June,11,2017,"4,362",81
July/11/2013,July,11,2013,"3,695",80
July/11/2014,July,11,2014,"3,716",79
July/11/2015,July,11,2015,"4,262",79
July/11/2016,July,11,2016,"4,081",73
July/11/2017,July,11,2017,"4,153",80
August/11/2013,August,11,2013,"3,545",73
August/11/2014,August,11,2014,"4,001",79
August/11/2015,August,11,2015,"3,827",76
August/11/2016,August,11,2016,"4,319",83
August/11/2017,August,11,2017,"3,979",76
September/11/2013,September,11,2013,"3,745",87
September/11/2014,September,11,2014,"3,974",76
September/11/2015,September,11,2015,"4,110",74
September/11/2016,September,11,2016,"3,896",75
September/11/2017,September,11,2017,"4,110",66
October/11/2013,October,11,2013,"3,590",64
October/11/2014,October,11,2014,"3,513",55
October/11/2015,October,11,2015,"3,786",61
October/11/2016,October,11,2016,"4,032",55
October/11/2017,October,11,2017,"4,079",69
November/11/2013,November,11,2013,"3,264",48
November/11/2014,November,11,2014,"3,421",57
November/11/2015,November,11,2015,"3,511",54
November/11/2016,November,11,2016,"3,678",52
November/11/2017,November,11,2017,"3,792",31
December/11/2013,December,11,2013,"3,489",30
December/11/2014,December,11,2014,"3,922",35
December/11/2015,December,11,2015,"4,027",56
December/11/2016,December,11,2016,"3,571",32
December/11/2017,December,11,2017,"4,296",37
